Area ID,Head segment ID,FRC of head segment,Count seg whip,Head pen rate,Head Ticon ADT,Head avg daily RSS,Avg whip pen rate,Std dev whip seg pen rate,Relat range,Month,Outliers
1666,-1169390100,1,3,0.34,31444,10684.581,0.202,0.12,1.037,22-5,0
1703,-859453482000,1,1,0.183,24712,4513.129,0.183,0,0,22-5,0
1703,-854764073000,1,3,0.105,42955,4520.839,0.156,0.065,0.797,22-5,0
1703,859453480000,1,1,0.106,42441,4503.806,0.106,0,0,22-5,0
1703,1161737752000,1,5,0.188,48481,9112.129,0.115,0.042,0.879,22-5,0
1768,-125430400,1,1,0.392,11747,4604.613,0.392,0,0,22-5,0
1768,1283211085,1,1,0.353,9912,3501,0.353,0,0,22-5,0
1768,-125430412,1,1,0.397,11547,4582.516,0.397,0,0,22-5,0
1768,125430402,1,1,0.296,16232,4799.742,0.296,0,0,22-5,0
1715,119052255,1,1,0.273,26555,7253.548,0.273,0,0,22-5,0
1715,-1268540891,1,1,0.267,17795,4748.387,0.267,0,0,22-5,0
1715,-1268540892,1,1,0.3,24206,7268.161,0.3,0,0,22-5,0
1715,1243920800,1,2,0.123,31206,3853.161,0.117,0.009,0.114,22-5,0
1726,-855359206000,1,1,0.21,25377,5327.645,0.21,0,0,22-5,0
1726,1196096622000,1,2,0.125,35978,4483.677,0.12,0.006,0.073,22-5,0
1726,-1222493122000,1,5,0.372,27010,10059.871,0.222,0.089,0.968,22-5,0
1726,1199461770000,1,3,8.34,608,5070.419,8.199,1.549,0.377,22-5,0
1726,109015284000,1,5,0.113,41172,4667.323,0.146,0.049,0.816,22-5,0
1726,-109015279000,1,5,6.303,738,4651.968,6.731,0.927,0.311,22-5,0
1813,1171013699,1,1,0.147,17806,2622.097,0.147,0,0,22-5,0
1813,-16990691,1,3,0.111,20247,2248.097,0.148,0.04,0.536,22-5,0
1813,-867315011,1,1,0.14,19590,2744.355,0.14,0,0,22-5,0
1813,1171055412,1,4,0.313,22473,7042.29,0.172,0.094,1.121,22-5,0
1840,-1122786024,1,2,0.204,26542,5401.774,0.145,0.083,0.815,22-5,0
1840,-19437854,1,2,0.097,23272,2265.581,0.165,0.095,0.818,22-5,0
1840,945796966,1,2,0.29,9257,2682.484,0.462,0.243,0.745,22-5,0
1840,1125627821,1,3,0.231,24903,5755.516,0.137,0.081,1.045,22-5,0
1844,-1123874504000,1,2,0.293,6389,1872.226,0.449,0.22,0.694,22-5,0
1844,-125432940000,1,3,0.573,5783,3315.935,0.372,0.175,0.829,22-5,0
1844,1123876184000,1,3,0.758,6282,4764.581,0.413,0.299,1.264,22-5,0
1844,1123867857000,1,5,0.087,15589,1362.968,0.111,0.036,0.767,22-5,0
1845,1152718952000,1,1,0.525,2892,1519.548,0.525,0,0,22-5,0
1845,1152718934000,1,3,0.503,4034,2030.387,0.48,0.022,0.09,22-5,0
1845,-1126019401000,1,3,0.04,36093,1460.194,0.041,0.001,0.027,22-5,0
1845,-110492041000,1,3,0.133,17089,2265.387,0.129,0.007,0.102,22-5,0
1843,958022448000,1,2,0.211,30886,6506.839,0.16,0.072,0.633,22-5,0
1843,1126001768000,1,4,0.148,26732,3963.516,0.199,0.1,1.097,22-5,0
1843,-1125994266000,1,3,0.167,20004,3334.903,0.264,0.09,0.676,22-5,0
1843,-1203530071000,1,3,0.368,21196,7798.774,0.236,0.115,0.854,22-5,0
